index,UF,ano,idade,sexo,escola,cor_raca,NOTA_LC,NOTA_MT,NOTA_CN,NOTA_CH,NOTA_REDACAO
15851,MG,2018,18.0,M,2,3,477.9,495.5,402.6,479.4,360.0
15852,RS,2018,17.0,M,2,1,432.9,558.8,478.7,578.7,280.0
15853,PR,2018,17.0,F,1,1,459.2,428.2,410.1,571.6,440.0
15854,MG,2018,29.0,M,1,1,599.7,,,676.3,600.0
15855,RJ,2018,17.0,F,2,1,544.8,530.9,519.3,625.1,300.0
15856,BA,2018,36.0,F,1,3,477.4,436.5,525.5,568.9,0.0
15857,SP,2018,18.0,F,2,3,372.9,437.1,446.9,519.5,320.0
15858,PI,2018,20.0,M,1,1,,,,,
15859,PB,2018,27.0,F,1,2,540.5,515.8,467.8,630.7,360.0
15860,RO,2018,17.0,F,1,3,558.1,618.6,421.7,550.4,520.0
15861,MG,2018,20.0,M,1,1,647.3,787.9,566.8,663.1,640.0
15862,MG,2018,32.0,M,1,3,,,,,
15863,SP,2018,17.0,F,3,1,560.9,623.3,588.0,629.7,520.0
15864,PR,2018,17.0,F,2,3,,,,,
15865,RS,2018,17.0,M,2,1,530.1,497.1,576.8,610.0,620.0
15866,TO,2018,19.0,F,2,1,458.8,406.4,473.0,506.8,300.0
15867,MA,2018,29.0,F,2,3,,,,,
15868,RN,2018,20.0,F,1,3,397.0,536.0,398.6,553.6,520.0
15869,SP,2018,16.0,F,1,1,651.2,756.8,503.2,697.2,960.0
15870,MG,2018,20.0,F,1,1,,,,,
15871,MG,2018,24.0,M,1,1,516.2,505.9,567.7,574.4,360.0
15872,CE,2018,17.0,F,1,1,450.9,,,456.2,420.0
15873,PE,2018,17.0,M,2,0,583.4,408.5,516.8,630.4,760.0
15874,CE,2018,20.0,F,1,3,,,,,
15875,MA,2018,34.0,M,1,3,538.0,461.4,496.8,636.8,540.0
15876,PA,2018,30.0,F,1,3,579.9,389.6,472.0,540.4,360.0
15877,BA,2018,34.0,M,1,2,,,,,
15878,CE,2018,21.0,F,1,3,,,,,
15879,AL,2018,15.0,F,1,3,526.7,496.0,421.6,572.7,540.0
15880,GO,2018,18.0,M,2,3,441.0,,,476.5,300.0
15881,MG,2018,25.0,M,1,3,,,,,
15882,SP,2018,18.0,F,1,3,473.3,497.6,558.7,599.1,400.0
15883,PI,2018,17.0,M,1,2,420.9,558.8,589.3,561.8,520.0
15884,BA,2018,23.0,M,1,3,529.5,605.0,404.2,549.3,600.0
15885,SP,2018,18.0,M,1,1,684.7,813.6,707.4,754.5,780.0
15886,RJ,2018,26.0,M,1,1,,,,,
15887,SP,2018,17.0,M,2,1,609.3,491.6,543.7,534.9,600.0
15888,DF,2018,53.0,F,1,1,501.7,464.7,535.7,611.6,360.0
15889,SP,2018,17.0,F,1,2,519.6,435.9,479.7,506.6,360.0
15890,RS,2018,27.0,M,1,3,488.6,465.2,445.9,578.7,460.0
15891,AL,2018,16.0,M,1,2,,,,,
15892,RN,2018,24.0,M,1,2,,,,,
15893,BA,2018,17.0,F,2,2,413.9,446.5,408.6,547.0,320.0
15894,SP,2018,17.0,F,1,1,609.6,710.9,654.9,679.8,880.0
15895,PR,2018,21.0,F,2,3,,,,,
15896,SP,2018,30.0,F,1,2,,,,,
15897,SC,2018,19.0,F,1,1,603.2,528.3,450.7,625.8,620.0
15898,SP,2018,54.0,M,1,1,587.6,537.9,535.8,635.7,300.0
15899,RS,2018,33.0,F,1,1,629.0,533.9,545.0,664.8,540.0
15900,PA,2018,33.0,F,1,3,599.8,660.6,527.7,672.5,580.0
15901,PA,2018,21.0,M,1,3,,,,,
15902,RN,2018,29.0,F,1,3,,,,,
15903,PA,2018,36.0,M,1,3,,,,,
15904,MA,2018,19.0,M,1,3,568.3,462.0,527.9,606.9,580.0
15905,RJ,2018,16.0,M,1,3,632.0,717.3,652.2,688.7,800.0
15906,PA,2018,34.0,F,1,1,,,,,
15907,PE,2018,18.0,F,2,1,401.8,508.7,425.4,476.8,320.0
15908,SC,2018,18.0,F,2,1,515.8,488.0,408.5,584.5,600.0
15909,PI,2018,35.0,F,1,3,477.2,470.5,564.2,555.0,320.0
15910,MA,2018,26.0,M,1,3,618.3,587.9,455.1,638.1,640.0
15911,RS,2018,23.0,M,1,1,,,,,
15912,BA,2018,19.0,M,1,3,581.1,626.4,524.7,619.0,740.0
15913,PB,2018,38.0,F,1,3,,,,,
15914,SE,2018,29.0,M,1,3,,,,,
15915,PR,2018,16.0,M,1,1,614.0,702.6,548.1,628.1,600.0
15916,PE,2018,52.0,M,1,5,457.4,523.3,469.2,546.6,360.0
15917,GO,2018,17.0,M,1,2,562.2,417.2,450.2,468.1,620.0
15918,PE,2018,41.0,F,1,3,573.0,534.2,478.1,640.1,560.0
15919,PA,2018,25.0,F,2,3,558.4,515.1,434.6,529.1,480.0
15920,DF,2018,38.0,F,1,2,474.7,390.7,420.2,415.6,280.0
15921,SP,2018,17.0,M,2,3,504.3,,,559.7,380.0
15922,RJ,2018,33.0,F,1,1,,,,,
15923,MA,2018,22.0,M,1,1,403.3,573.0,417.1,508.7,320.0
15924,RN,2018,16.0,F,1,1,631.4,680.0,597.3,685.5,840.0
15925,MG,2018,18.0,F,1,1,540.4,572.3,549.2,587.1,600.0
15926,PA,2018,17.0,M,3,3,608.1,666.4,491.9,645.2,620.0
15927,SP,2018,18.0,F,2,3,599.5,651.7,592.1,651.4,560.0
15928,DF,2018,18.0,M,2,1,553.6,428.5,488.6,534.5,360.0
15929,SP,2018,17.0,M,3,1,618.6,803.9,569.4,625.7,880.0
15930,PE,2018,19.0,M,1,1,,,,,
15931,SP,2018,17.0,F,2,1,610.3,494.7,530.4,648.9,600.0
15932,PI,2018,19.0,F,1,1,567.2,413.0,526.2,497.6,780.0
15933,RS,2018,25.0,M,1,1,617.2,732.2,551.5,667.1,680.0
15934,RN,2018,31.0,F,1,3,616.9,682.4,439.4,621.2,760.0
15935,MT,2018,20.0,M,1,3,465.0,,,489.0,440.0
15936,RJ,2018,23.0,M,1,3,508.5,,,546.0,340.0
15937,RJ,2018,34.0,F,1,3,581.0,,,660.1,320.0
15938,RS,2018,29.0,M,1,1,538.6,545.9,436.4,445.2,740.0
15939,SP,2018,19.0,F,1,1,565.2,547.2,445.4,590.7,560.0
15940,RS,2018,20.0,M,1,1,471.2,461.5,395.9,425.5,360.0
15941,BA,2018,35.0,F,1,3,,,,,
15942,MG,2018,22.0,F,1,3,639.9,508.6,405.1,634.3,700.0
15943,ES,2018,32.0,M,1,3,598.8,514.3,503.3,612.2,660.0
15944,SP,2018,17.0,M,1,3,500.4,537.2,481.0,565.7,400.0
15945,RS,2018,17.0,M,1,1,602.6,742.8,574.0,644.1,600.0
15946,BA,2018,40.0,M,1,3,,,,,
15947,SC,2018,20.0,M,1,1,,,,,
15948,BA,2018,17.0,F,1,3,498.4,423.3,483.6,565.2,540.0
15949,MG,2018,20.0,F,1,3,455.7,528.0,524.7,506.5,360.0
15950,MA,2018,25.0,M,1,1,604.6,624.4,529.6,664.9,540.0
15951,SC,2018,16.0,F,1,1,616.0,572.8,574.0,673.2,860.0
15952,ES,2018,21.0,F,1,3,588.4,580.8,585.4,653.0,600.0
15953,RS,2018,28.0,F,1,3,549.2,404.1,504.5,591.6,560.0
15954,PE,2018,16.0,M,1,1,657.4,657.1,464.6,708.6,620.0
15955,PA,2018,18.0,F,2,3,376.9,479.6,485.9,539.3,280.0
15956,AM,2018,19.0,M,1,3,,,,,
15957,AM,2018,17.0,F,2,4,630.9,457.3,555.8,580.2,860.0
15958,RJ,2018,26.0,M,1,1,593.9,483.4,589.3,694.9,680.0
15959,SP,2018,18.0,F,1,1,562.7,678.8,612.6,639.3,880.0
15960,MA,2018,18.0,M,2,3,499.8,421.5,476.7,480.8,560.0
15961,RS,2018,22.0,M,1,1,534.2,635.0,480.0,610.4,500.0
15962,SP,2018,16.0,F,1,1,533.6,537.0,416.8,548.2,600.0
15963,PR,2018,20.0,F,1,3,477.0,539.2,434.3,563.8,460.0
15964,ES,2018,17.0,F,3,1,641.6,745.5,669.5,683.4,700.0
15965,SC,2018,39.0,F,1,1,,,,,
15966,DF,2018,16.0,F,1,3,643.2,672.3,617.3,630.7,880.0
15967,PA,2018,18.0,F,2,3,364.9,379.0,420.3,492.0,280.0
15968,PB,2018,16.0,M,1,1,426.2,452.0,483.9,518.6,660.0
15969,MG,2018,30.0,F,1,3,,,,,
15970,PE,2018,17.0,F,2,3,518.5,418.6,536.3,464.9,560.0
15971,RJ,2018,18.0,M,2,2,485.4,486.2,428.3,598.7,400.0
15972,SC,2018,17.0,F,2,3,611.7,508.4,530.2,617.4,720.0
15973,RN,2018,34.0,F,1,3,470.7,479.6,397.4,449.3,380.0
15974,BA,2018,17.0,F,1,3,,,,,
15975,SP,2018,16.0,M,1,1,585.2,660.1,559.2,622.8,580.0
15976,SC,2018,16.0,F,1,3,599.1,533.4,523.5,533.7,520.0
15977,MG,2018,19.0,M,1,3,,,,,
15978,AL,2018,20.0,M,1,3,479.6,473.6,537.5,575.6,840.0
15979,CE,2018,28.0,M,1,3,605.9,554.9,465.7,598.7,600.0
15980,PA,2018,25.0,F,1,3,343.3,406.0,419.6,402.8,360.0
15981,BA,2018,22.0,F,1,3,445.0,463.8,484.8,417.6,0.0
15982,SP,2018,21.0,F,1,4,,,,,
15983,MG,2018,18.0,M,2,1,501.0,506.9,544.1,600.2,400.0
15984,MG,2018,34.0,F,1,1,,,,,
15985,RO,2018,30.0,F,1,3,507.3,472.9,436.5,618.7,340.0
15986,SP,2018,17.0,F,2,3,497.3,542.3,499.2,544.4,380.0
15987,SC,2018,21.0,F,2,1,476.6,415.3,497.6,565.5,260.0
15988,SP,2018,17.0,F,2,3,,,,,
15989,GO,2018,20.0,M,1,3,,,,,
15990,CE,2018,17.0,F,2,3,567.9,500.9,446.4,611.8,720.0
15991,RS,2018,18.0,F,1,1,535.6,637.6,444.9,594.2,460.0
15992,CE,2018,18.0,M,2,3,560.8,579.2,569.7,628.1,600.0
15993,RS,2018,20.0,F,1,1,611.3,770.2,641.3,661.6,940.0
15994,PB,2018,20.0,F,1,1,410.3,557.0,484.4,526.5,480.0
15995,PB,2018,18.0,M,1,3,,,,,
15996,PR,2018,21.0,M,1,1,627.2,677.6,566.4,645.1,640.0
15997,AC,2018,45.0,F,1,3,440.8,414.2,499.4,512.7,300.0
15998,SC,2018,19.0,M,1,1,443.2,587.1,461.4,530.6,400.0
15999,PA,2018,36.0,M,1,2,,,,,
16000,BA,2018,23.0,F,1,3,433.3,410.4,425.6,537.5,340.0
16001,MA,2018,17.0,M,1,2,466.3,515.1,459.6,447.1,360.0
16002,PE,2018,16.0,F,3,3,566.6,475.9,473.3,582.5,640.0
16003,RO,2018,28.0,M,1,3,,,,,
16004,SP,2018,18.0,M,1,1,507.3,495.6,503.1,498.5,560.0
16005,SP,2018,18.0,F,1,1,,,,,
16006,AM,2018,33.0,F,1,3,,,,,
16007,SP,2018,23.0,M,1,3,,,,,
16008,MG,2018,16.0,M,1,1,591.9,701.0,540.8,684.0,800.0
16009,DF,2018,24.0,M,1,3,537.9,,,607.3,680.0
16010,AP,2018,26.0,F,1,1,637.2,535.2,657.3,667.6,920.0
16011,RS,2018,24.0,M,1,3,557.8,520.1,556.8,602.6,580.0
16012,PA,2018,29.0,M,1,4,,,,,
16013,PE,2018,17.0,F,1,3,544.5,471.5,485.8,587.6,360.0
16014,MA,2018,42.0,M,1,3,631.1,654.0,564.2,686.1,340.0
16015,PA,2018,17.0,F,2,1,506.2,422.5,452.4,592.8,360.0
16016,RJ,2018,16.0,M,1,3,519.0,470.9,444.7,498.1,480.0
16017,RJ,2018,16.0,F,1,3,562.5,627.1,505.3,627.0,700.0
16018,AM,2018,29.0,F,1,3,568.8,560.7,433.4,616.5,440.0
16019,MG,2018,19.0,F,1,2,526.8,530.8,529.3,573.2,420.0
16020,SP,2018,29.0,M,2,1,398.6,416.9,392.1,445.6,0.0
16021,PR,2018,21.0,F,1,1,618.1,,,617.2,340.0
16022,SP,2018,17.0,F,2,3,592.9,570.4,557.9,626.1,580.0
16023,BA,2018,17.0,F,2,3,613.2,588.7,552.6,656.7,840.0
16024,SP,2018,23.0,F,1,1,,,,,
16025,MG,2018,19.0,F,1,1,633.2,,,643.4,880.0
16026,SP,2018,17.0,M,2,1,570.0,524.9,433.3,631.7,740.0
16027,MG,2018,19.0,M,1,1,,,,,
16028,CE,2018,21.0,M,1,3,,,,,
16029,RJ,2018,21.0,F,1,1,564.0,711.5,640.9,632.8,940.0
16030,RS,2018,25.0,M,1,1,,,,,
16031,BA,2018,37.0,M,1,3,595.8,683.0,608.4,681.5,520.0
16032,PI,2018,21.0,F,1,1,425.0,487.7,461.9,540.0,480.0
16033,SP,2018,41.0,M,1,3,,,,,
16034,SP,2018,20.0,M,1,3,465.7,,,504.7,320.0
16035,GO,2018,15.0,M,1,3,508.7,556.9,529.5,627.1,840.0
16036,SP,2018,50.0,M,1,1,,,,,
16037,PE,2018,18.0,M,2,2,398.7,442.7,375.9,421.5,360.0
16038,PA,2018,34.0,F,1,3,518.1,438.9,397.1,442.7,340.0
16039,CE,2018,19.0,M,2,3,431.9,414.0,411.5,446.5,0.0
16040,RS,2018,26.0,F,1,1,483.0,,,589.0,340.0
16041,RO,2018,38.0,F,1,3,455.6,517.9,430.9,510.4,320.0
16042,RN,2018,21.0,M,1,3,455.0,466.4,392.9,489.9,440.0
16043,AL,2018,25.0,F,1,3,,,,,
16044,DF,2018,19.0,F,3,3,,,,,
16045,AM,2018,31.0,M,1,3,,,,,
16046,RS,2018,19.0,F,1,1,,,,,
16047,MA,2018,21.0,F,1,3,,,,,
16048,MG,2018,33.0,M,1,3,447.7,412.4,450.4,461.7,380.0
16049,SP,2018,17.0,M,2,4,591.8,603.2,576.9,600.6,600.0
16050,BA,2018,37.0,F,1,1,,,,,
16051,SP,2018,17.0,F,2,1,522.0,400.3,436.1,493.2,600.0
16052,RS,2018,20.0,M,1,1,,,,,
16053,RS,2018,32.0,F,1,2,518.0,439.6,563.1,582.7,360.0
16054,MG,2018,28.0,F,2,3,518.1,591.9,488.6,617.5,460.0
16055,MG,2018,24.0,F,1,3,571.7,575.8,533.8,525.9,520.0
16056,MG,2018,19.0,M,1,3,515.3,586.9,573.5,592.3,560.0
16057,RJ,2018,29.0,M,1,3,552.5,,,586.0,320.0
16058,RS,2018,49.0,F,1,1,450.0,433.5,478.9,419.0,340.0
16059,AP,2018,37.0,F,1,3,530.5,613.7,606.3,677.0,980.0
16060,ES,2018,19.0,F,2,3,385.9,386.2,424.1,550.2,0.0
16061,MT,2018,17.0,F,2,4,409.2,554.1,406.2,438.3,360.0
16062,CE,2018,18.0,M,2,3,528.2,413.8,435.9,594.9,560.0
16063,MA,2018,16.0,M,1,3,400.0,470.4,442.4,516.6,340.0
16064,PE,2018,22.0,M,1,1,448.8,489.5,373.9,537.2,360.0
16065,GO,2018,17.0,M,1,3,594.6,606.7,650.3,641.2,580.0
16066,CE,2018,22.0,M,1,3,469.2,560.7,416.9,434.9,380.0
16067,GO,2018,15.0,F,1,1,486.3,475.0,506.8,499.0,380.0
16068,MG,2018,21.0,F,1,1,,,,,
16069,SP,2018,17.0,F,2,1,562.5,464.3,526.4,624.4,340.0
16070,PA,2018,22.0,F,1,1,578.1,473.4,478.9,638.4,380.0
16071,RN,2018,41.0,M,1,3,,,,,
16072,BA,2018,28.0,F,1,2,523.9,551.0,519.5,465.2,460.0
16073,SP,2018,21.0,M,1,1,623.4,635.4,465.2,632.3,620.0
16074,MA,2018,21.0,F,1,3,559.2,498.9,465.3,613.6,300.0
16075,AC,2018,21.0,F,2,3,,,,,
16076,MG,2018,18.0,F,2,3,,,,,
16077,MG,2018,21.0,F,1,0,436.5,473.6,442.3,419.9,340.0
16078,MG,2018,21.0,F,1,3,454.9,407.3,427.8,511.8,320.0
16079,DF,2018,51.0,M,1,1,642.6,718.9,680.6,741.1,820.0
16080,MT,2018,20.0,F,1,2,,,,,
16081,AM,2018,17.0,F,1,3,478.1,508.3,434.1,516.0,320.0
16082,PI,2018,16.0,M,1,2,631.1,707.2,577.6,657.9,660.0
16083,TO,2018,21.0,F,1,3,539.2,435.6,531.8,528.0,320.0
16084,RS,2018,30.0,F,1,1,,,,,
16085,SP,2018,23.0,F,1,1,594.8,597.5,526.1,618.4,640.0
16086,PA,2018,22.0,F,1,1,554.2,537.8,508.4,453.4,360.0
16087,SP,2018,17.0,M,2,1,541.9,454.8,419.9,521.6,580.0
16088,RS,2018,20.0,F,1,1,517.6,436.3,557.2,574.7,360.0
16089,PI,2018,17.0,F,2,3,571.8,671.1,540.2,595.4,560.0
16090,RS,2018,17.0,F,1,1,562.9,605.8,424.8,556.3,580.0
16091,RS,2018,17.0,M,2,3,,,,,
16092,GO,2018,16.0,M,1,3,539.5,552.6,428.6,576.1,520.0
16093,DF,2018,18.0,F,1,3,561.3,632.0,571.6,638.4,600.0
16094,GO,2018,17.0,F,2,3,552.1,584.2,413.6,487.2,660.0
16095,PE,2018,25.0,F,1,2,423.3,532.7,441.5,604.0,560.0
16096,RO,2018,22.0,F,1,3,643.8,517.0,502.5,592.4,660.0
16097,PA,2018,23.0,F,1,4,322.7,406.4,403.4,489.1,280.0
16098,MG,2018,35.0,M,1,2,585.5,598.9,564.9,631.8,660.0
16099,PE,2018,19.0,M,1,3,486.4,508.5,461.4,448.0,360.0
16100,RJ,2018,21.0,M,1,3,506.1,655.8,421.5,523.6,600.0
16101,SC,2018,17.0,F,2,1,364.1,391.8,455.8,452.5,340.0
16102,CE,2018,19.0,F,1,3,414.3,487.9,500.6,497.2,560.0
16103,SP,2018,17.0,F,1,1,570.6,555.9,502.3,611.5,380.0
16104,BA,2018,19.0,F,2,3,487.2,431.3,435.1,529.9,420.0
16105,AM,2018,18.0,M,3,3,664.4,462.2,569.6,669.6,640.0
16106,SP,2018,19.0,F,1,3,417.9,556.0,513.2,446.1,280.0
16107,CE,2018,24.0,F,1,3,,,,,
16108,BA,2018,19.0,F,2,2,447.0,406.4,434.3,502.1,280.0
16109,GO,2018,18.0,M,1,3,550.1,589.1,439.3,621.1,640.0
16110,SP,2018,17.0,F,2,1,500.3,443.4,466.2,495.6,360.0
16111,RJ,2018,17.0,M,1,1,577.2,684.4,475.8,615.2,520.0
16112,CE,2018,19.0,F,1,3,,,,,
16113,RN,2018,23.0,F,1,3,502.0,486.1,416.8,598.7,460.0
16114,AL,2018,22.0,F,1,3,,,,,
16115,SE,2018,23.0,M,1,3,,,,,
16116,RJ,2018,18.0,F,1,1,,,,,
16117,BA,2018,18.0,M,2,2,,,,,
16118,CE,2018,17.0,F,2,3,462.8,512.1,380.1,464.2,340.0
16119,BA,2018,21.0,M,1,3,,,,,
16120,PR,2018,47.0,F,1,1,476.8,436.4,415.6,571.4,220.0
16121,PE,2018,21.0,F,2,3,383.1,422.5,463.9,448.2,260.0
16122,SP,2018,20.0,M,1,1,,,,,
16123,RS,2018,20.0,M,1,1,,,,,
16124,PA,2018,24.0,M,1,3,524.4,599.4,570.0,621.2,960.0
16125,GO,2018,18.0,F,2,3,469.2,471.3,399.7,599.0,340.0
16126,PA,2018,19.0,F,1,3,402.8,513.3,403.0,470.6,480.0
16127,SP,2018,28.0,M,1,3,,,,,
16128,PA,2018,19.0,F,1,3,509.7,481.4,459.0,604.8,540.0
16129,SP,2018,19.0,F,2,2,,,,,
16130,BA,2018,30.0,M,1,2,,,,,
16131,RS,2018,20.0,M,1,1,474.4,496.9,527.1,581.2,560.0
16132,SP,2018,17.0,M,2,3,,,,,
16133,SP,2018,18.0,F,1,1,515.5,502.9,545.7,535.7,660.0
16134,DF,2018,17.0,M,3,1,632.1,941.2,789.6,683.0,780.0
16135,SP,2018,17.0,F,2,2,533.0,509.6,430.2,594.9,600.0
16136,BA,2018,22.0,M,1,2,484.3,450.1,433.4,474.0,540.0
16137,ES,2018,20.0,F,1,1,591.1,711.1,666.9,651.0,940.0
16138,PR,2018,17.0,F,3,1,592.9,674.5,588.0,638.2,580.0
16139,PR,2018,16.0,M,1,1,461.1,574.6,485.3,488.2,320.0
16140,MT,2018,28.0,M,1,2,432.0,543.7,410.1,494.2,260.0
16141,MG,2018,19.0,F,1,2,,,,,
16142,CE,2018,19.0,F,2,1,515.1,407.3,442.9,526.9,280.0
16143,BA,2018,34.0,F,1,1,519.6,424.5,486.6,602.2,340.0
16144,SP,2018,32.0,F,1,1,,,,,
16145,PA,2018,16.0,F,1,3,415.1,467.4,414.0,440.4,380.0
16146,BA,2018,18.0,F,1,3,,,,,
16147,PE,2018,22.0,F,1,3,559.0,493.0,456.9,585.5,520.0
16148,MA,2018,21.0,F,1,1,409.3,568.9,480.4,490.6,500.0
16149,SC,2018,17.0,M,3,1,592.6,704.4,541.1,632.8,640.0
16150,BA,2018,20.0,M,1,2,485.8,474.3,422.3,528.7,620.0
16151,RN,2018,21.0,F,1,1,617.1,423.2,602.6,669.1,600.0
16152,MS,2018,39.0,F,2,3,453.1,523.6,502.9,565.5,400.0
16153,RS,2018,19.0,M,1,1,,,,,
16154,GO,2018,17.0,M,2,3,,,,,
16155,MA,2018,41.0,F,1,3,591.8,429.4,387.9,521.3,620.0
16156,AL,2018,28.0,M,1,3,476.2,488.9,458.5,617.1,360.0
16157,CE,2018,17.0,M,2,3,419.5,395.4,376.1,499.4,240.0
16158,BA,2018,17.0,F,1,3,478.2,546.0,464.5,601.1,700.0
16159,PB,2018,20.0,M,1,3,570.7,636.1,552.5,589.6,520.0
16160,MG,2018,17.0,F,2,4,600.9,554.4,527.4,631.8,520.0
16161,ES,2018,20.0,M,1,1,572.3,656.0,569.1,675.2,600.0
16162,PE,2018,22.0,M,1,1,426.9,550.6,443.9,500.3,440.0
16163,MA,2018,16.0,F,1,1,440.1,408.4,449.8,404.4,200.0
16164,PB,2018,25.0,F,1,1,560.8,615.1,556.6,637.2,540.0
16165,PE,2018,17.0,F,1,3,633.4,716.2,629.5,670.7,760.0
16166,SP,2018,18.0,F,3,1,645.1,747.1,598.2,670.6,840.0
16167,SC,2018,18.0,F,2,3,456.2,471.9,411.8,532.9,420.0
16168,GO,2018,28.0,F,1,3,,,,,
16169,SP,2018,22.0,M,1,3,511.7,,,572.4,360.0
16170,AL,2018,32.0,F,1,3,454.3,452.8,526.7,572.7,380.0
16171,MG,2018,16.0,F,1,1,637.8,664.9,567.3,665.7,540.0
16172,PI,2018,18.0,M,3,0,547.2,647.7,479.5,655.6,700.0
16173,PE,2018,27.0,M,1,0,,,,,
16174,SP,2018,19.0,F,1,2,551.7,481.8,431.8,505.6,600.0
16175,AM,2018,28.0,M,1,3,,,,,
16176,SP,2018,17.0,M,3,1,,,,,
16177,PE,2018,26.0,F,1,2,,,,,
16178,RS,2018,22.0,M,1,1,506.2,707.7,551.0,582.8,480.0
16179,DF,2018,20.0,F,1,3,601.3,713.7,605.6,540.8,640.0
16180,MA,2018,20.0,F,1,1,440.3,463.6,404.1,514.2,720.0
16181,SP,2018,18.0,F,1,1,,,,,
16182,AM,2018,24.0,F,1,3,,541.2,541.9,,
16183,RS,2018,18.0,F,2,1,599.3,680.0,646.8,654.5,640.0
16184,RN,2018,30.0,F,1,3,,,,,
16185,MG,2018,22.0,M,1,3,480.8,544.3,387.5,420.0,200.0
16186,SP,2018,22.0,F,1,1,,,,,
16187,MG,2018,17.0,F,2,3,490.4,406.6,420.0,540.6,0.0
16188,AM,2018,18.0,F,1,3,382.6,414.0,394.1,402.5,300.0
16189,MG,2018,23.0,F,1,2,571.9,708.4,478.9,639.2,540.0
16190,PE,2018,21.0,F,1,3,500.0,473.6,445.5,398.3,500.0
16191,MA,2018,22.0,F,1,3,,,,,
16192,BA,2018,18.0,F,1,3,574.4,459.4,436.6,606.7,360.0
16193,RS,2018,19.0,F,2,2,501.7,385.2,438.3,604.0,480.0
16194,MA,2018,18.0,M,2,3,493.0,502.1,519.6,445.3,460.0
16195,AP,2018,17.0,F,1,3,488.3,,,540.5,340.0
16196,SE,2018,17.0,F,1,0,426.5,454.3,429.7,440.0,0.0
16197,PR,2018,17.0,M,2,1,575.3,,,652.0,560.0
16198,BA,2018,17.0,F,3,4,673.4,749.5,634.1,700.6,960.0
16199,PI,2018,24.0,F,1,3,386.2,405.8,436.9,408.1,320.0
16200,RN,2018,22.0,M,1,3,0.0,564.3,459.3,0.0,340.0
16201,RJ,2018,24.0,M,1,1,,,,,
16202,PR,2018,18.0,F,1,4,,,,,
16203,RS,2018,26.0,F,1,3,,,,,
16204,CE,2018,30.0,F,2,3,,,,,
16205,TO,2018,19.0,F,1,3,,,,,
16206,BA,2018,27.0,F,1,2,,,,,
16207,MG,2018,17.0,F,2,1,503.2,493.7,441.5,473.2,560.0
16208,SE,2018,23.0,F,1,3,,,,,
16209,MG,2018,17.0,M,3,3,560.1,687.3,665.8,678.6,700.0
16210,MT,2018,18.0,F,1,1,,,,,
16211,CE,2018,18.0,F,2,3,526.7,457.6,458.0,422.8,320.0
16212,CE,2018,18.0,M,2,2,,,,,
16213,RJ,2018,35.0,F,1,2,,,,,
16214,SP,2018,17.0,M,1,2,399.6,584.4,435.1,457.4,400.0
16215,SP,2018,17.0,F,1,1,,,,,
16216,RJ,2018,53.0,F,1,1,552.6,398.5,525.6,424.5,480.0
16217,PR,2018,17.0,F,1,0,542.5,516.4,544.4,514.1,540.0
16218,ES,2018,28.0,F,1,3,,,,,
16219,GO,2018,44.0,F,1,3,,,,,
16220,PA,2018,20.0,F,1,3,419.9,479.2,453.9,512.7,320.0
16221,DF,2018,29.0,M,1,3,480.5,496.8,434.9,581.6,500.0
16222,AC,2018,36.0,F,1,3,482.4,503.3,388.7,602.1,600.0
16223,AM,2018,31.0,F,1,3,,,,,
16224,MG,2018,20.0,M,1,1,605.4,686.6,547.9,654.0,860.0
16225,CE,2018,19.0,F,1,3,565.4,496.5,467.3,410.2,560.0
16226,DF,2018,26.0,F,1,5,,,,,
16227,MG,2018,20.0,F,1,2,,,,,
16228,MS,2018,25.0,M,1,0,,,,,
16229,TO,2018,19.0,F,1,4,,,,,
16230,BA,2018,20.0,F,1,2,626.8,573.9,538.8,608.3,480.0
16231,RS,2018,22.0,M,1,1,513.3,502.7,431.6,624.6,520.0
16232,SP,2018,18.0,M,2,1,470.0,,,597.2,0.0
16233,ES,2018,17.0,F,1,3,554.6,567.4,468.0,573.8,780.0
16234,SP,2018,16.0,F,1,3,436.8,451.1,415.5,480.3,580.0
16235,BA,2018,17.0,M,2,1,450.1,419.7,450.4,565.1,320.0
16236,MA,2018,18.0,M,1,2,599.6,617.2,515.2,483.8,760.0
16237,RS,2018,19.0,M,1,1,417.8,497.9,464.5,489.9,380.0
16238,MG,2018,17.0,F,2,2,626.2,648.4,565.5,655.6,640.0
16239,PA,2018,25.0,M,1,3,,,,,
16240,RO,2018,18.0,M,2,3,420.9,381.7,481.1,452.9,300.0
16241,ES,2018,25.0,F,1,3,,,,,
16242,SP,2018,18.0,F,2,1,,,,,
16243,RS,2018,17.0,F,1,1,511.1,644.8,459.6,561.2,840.0
16244,SP,2018,18.0,F,1,1,514.9,534.2,425.4,609.7,520.0
16245,RJ,2018,24.0,M,1,3,,,,,
16246,CE,2018,31.0,M,1,4,550.2,504.5,423.1,585.4,400.0
16247,RS,2018,26.0,M,1,1,544.0,539.3,504.6,596.4,360.0
16248,SP,2018,21.0,F,1,1,569.2,687.4,613.1,660.2,640.0
16249,SP,2018,17.0,M,3,1,622.7,690.2,631.8,672.0,440.0
16250,CE,2018,18.0,F,1,3,,,,,
16251,BA,2018,19.0,M,2,1,481.6,501.9,395.1,587.1,640.0
16252,MA,2018,17.0,M,2,3,469.6,401.6,420.7,453.3,300.0
