index,UF,ano,idade,sexo,escola,cor_raca,NOTA_LC,NOTA_MT,NOTA_CN,NOTA_CH,NOTA_REDACAO
129,RJ,2016,23.0,M,1,2,618.2,460.4,498.9,518.9,300.0
130,ES,2016,22.0,M,1,3,578.8,453.3,499.7,563.0,520.0
131,RS,2016,22.0,F,1,1,,,,,
132,ES,2016,22.0,M,1,2,329.4,401.5,430.7,485.5,420.0
133,RS,2016,32.0,F,1,1,454.4,567.2,488.7,491.3,380.0
134,MG,2016,18.0,M,1,3,575.0,523.0,565.0,637.1,520.0
135,PR,2016,48.0,M,1,1,,,,,
136,SP,2016,39.0,M,1,1,518.8,438.8,466.2,518.1,440.0
137,PR,2016,19.0,M,2,1,426.1,393.8,448.1,437.8,480.0
138,BA,2016,59.0,F,1,1,567.6,547.9,434.3,609.6,640.0
139,DF,2016,17.0,M,2,3,556.4,463.1,447.9,532.6,620.0
140,GO,2016,18.0,F,1,1,544.2,546.0,590.8,635.6,600.0
141,RJ,2016,16.0,M,1,1,,,,,
142,PA,2016,20.0,M,1,3,480.4,374.4,459.4,510.5,300.0
143,AL,2016,25.0,M,1,3,,,,,
144,TO,2016,16.0,M,2,3,613.1,618.4,491.7,610.3,420.0
145,RS,2016,42.0,F,1,1,612.9,703.6,528.6,647.6,500.0
146,GO,2016,21.0,F,1,3,480.4,509.3,399.3,562.7,0.0
147,MG,2016,18.0,M,2,1,593.5,385.9,465.8,416.1,420.0
148,PA,2016,40.0,M,1,2,,,,,
149,SP,2016,17.0,M,2,1,469.2,504.7,415.8,466.9,400.0
150,PA,2016,17.0,M,2,3,,,391.6,409.0,
151,PR,2016,19.0,F,1,1,599.3,507.8,592.2,551.0,720.0
152,RJ,2016,17.0,M,3,3,658.0,567.1,613.9,694.7,660.0
153,PR,2016,17.0,F,2,1,545.6,440.9,513.7,528.6,540.0
154,RJ,2016,17.0,M,2,2,536.1,543.8,461.0,542.2,580.0
155,SP,2016,23.0,M,1,2,510.3,610.2,461.1,504.2,580.0
156,CE,2016,17.0,M,1,1,414.2,490.1,397.6,476.9,580.0
157,PE,2016,19.0,F,1,1,486.0,525.7,427.4,541.4,560.0
158,SP,2016,17.0,F,2,3,,,485.7,473.4,
159,SP,2016,16.0,F,1,3,567.3,629.7,431.6,567.2,660.0
160,RJ,2016,32.0,M,1,1,,,,,
161,PA,2016,27.0,F,1,3,514.4,437.0,583.4,514.3,480.0
162,BA,2016,18.0,M,1,1,509.1,349.9,466.2,483.5,500.0
163,RS,2016,22.0,M,1,1,557.5,558.1,519.0,546.3,560.0
164,CE,2016,17.0,F,1,3,380.5,433.6,425.5,442.2,580.0
165,RJ,2016,52.0,M,1,2,,,,,
166,PR,2016,23.0,F,1,3,,,,,
167,BA,2016,24.0,F,1,3,532.5,497.6,413.8,524.6,540.0
168,BA,2016,20.0,F,1,2,566.8,554.2,487.7,558.8,620.0
169,RS,2016,18.0,M,2,1,655.4,591.9,571.8,673.9,600.0
170,RJ,2016,25.0,M,1,1,,,,,
171,SP,2016,16.0,M,1,1,644.7,692.1,598.7,612.1,0.0
172,MG,2016,16.0,M,1,3,458.4,694.3,541.7,573.7,520.0
173,MG,2016,24.0,F,1,3,640.0,572.9,555.5,648.9,760.0
174,PA,2016,21.0,M,1,3,424.1,397.0,491.3,453.5,300.0
175,CE,2016,16.0,F,1,1,532.0,429.4,416.1,564.0,660.0
176,RS,2016,31.0,M,1,1,,,,,
177,RS,2016,16.0,F,1,1,447.6,440.8,486.2,525.9,440.0
178,MG,2016,17.0,F,1,1,587.2,452.2,588.4,633.7,840.0
179,PA,2016,27.0,F,1,3,,,,,
180,RJ,2016,18.0,F,2,1,572.0,401.2,551.6,594.3,800.0
181,RN,2016,26.0,M,1,3,536.6,653.5,496.8,578.7,580.0
182,PE,2016,20.0,M,2,3,,,464.5,498.1,
183,DF,2016,18.0,M,2,3,397.8,452.9,437.9,467.8,580.0
184,MG,2016,24.0,F,1,3,526.6,433.2,419.4,504.0,560.0
185,SP,2016,19.0,M,1,1,567.6,492.7,500.8,576.2,580.0
186,SE,2016,32.0,M,1,3,,,,,
187,SP,2016,19.0,M,2,2,476.6,477.3,455.5,386.7,600.0
188,GO,2016,17.0,M,1,3,483.0,435.0,427.0,574.8,600.0
189,PR,2016,27.0,M,1,4,554.2,486.7,509.6,546.4,380.0
190,SP,2016,27.0,M,1,3,,,,,
191,PA,2016,40.0,F,1,2,430.3,481.7,417.8,567.2,460.0
192,SP,2016,20.0,M,1,1,561.8,828.2,721.3,689.1,440.0
193,SP,2016,17.0,F,1,1,520.3,604.4,515.7,610.7,960.0
194,SP,2016,18.0,F,1,1,633.3,638.3,589.8,660.6,680.0
195,RO,2016,19.0,F,2,2,434.0,449.4,438.1,409.0,560.0
196,MA,2016,34.0,M,1,3,575.1,441.6,405.2,545.7,640.0
197,MG,2016,22.0,F,1,3,,,437.3,423.5,
198,CE,2016,16.0,F,1,1,484.9,358.2,468.3,538.6,440.0
199,AM,2016,27.0,F,1,3,,,,,
200,PR,2016,21.0,M,1,0,,,,,
201,TO,2016,29.0,M,1,1,528.3,347.9,466.5,551.8,520.0
202,PA,2016,33.0,M,1,3,574.5,544.1,546.0,595.9,620.0
203,CE,2016,22.0,F,1,3,,,,,
204,RJ,2016,18.0,M,3,1,520.4,623.4,437.9,528.7,600.0
205,MT,2016,32.0,M,1,1,574.5,465.6,397.7,521.2,660.0
206,AL,2016,20.0,M,1,3,470.9,384.9,442.5,445.3,320.0
207,SC,2016,24.0,M,1,1,548.7,637.1,,,540.0
208,PB,2016,27.0,M,1,3,624.6,516.9,539.1,617.3,740.0
209,DF,2016,22.0,F,1,3,,,,,
210,RN,2016,43.0,F,1,3,511.5,489.0,381.8,491.7,540.0
211,AP,2016,21.0,M,1,3,,,,,
212,MA,2016,17.0,M,1,1,390.7,471.7,427.3,503.4,360.0
213,AM,2016,18.0,M,3,3,,,524.3,631.7,
214,SP,2016,33.0,F,1,3,,,,,
215,SP,2016,17.0,F,3,1,608.2,522.1,491.1,569.4,560.0
216,CE,2016,19.0,F,2,1,,,,,
217,AC,2016,39.0,F,1,3,,,,,
218,PR,2016,18.0,M,2,1,593.6,533.7,392.5,574.2,560.0
219,PB,2016,19.0,F,2,1,463.4,375.9,397.8,479.7,360.0
220,RO,2016,30.0,F,1,2,413.6,380.9,498.6,357.2,480.0
221,AM,2016,30.0,F,1,3,,,,,
222,MA,2016,29.0,F,1,3,,,,,
223,SP,2016,16.0,F,1,3,633.6,538.6,509.8,573.4,680.0
224,MG,2016,17.0,F,1,1,570.0,663.3,440.0,606.1,840.0
225,MS,2016,34.0,F,1,1,646.3,701.4,597.5,664.6,900.0
226,BA,2016,37.0,F,1,2,,,,,
227,ES,2016,22.0,F,2,1,432.2,449.6,457.5,403.7,0.0
228,DF,2016,37.0,M,1,1,,,,,
229,RO,2016,16.0,F,1,4,497.7,381.1,471.3,543.7,520.0
230,PE,2016,29.0,F,1,3,518.5,464.7,429.9,522.3,360.0
231,ES,2016,22.0,F,1,1,560.0,481.1,445.8,454.7,420.0
232,DF,2016,44.0,M,1,2,,,,,
233,MS,2016,24.0,M,1,3,510.8,490.2,470.7,478.5,400.0
234,GO,2016,36.0,M,1,3,508.8,548.2,516.9,515.1,360.0
235,AM,2016,19.0,M,1,3,,,,,
236,BA,2016,24.0,F,1,4,,,,,
237,PE,2016,15.0,F,1,4,395.4,388.4,412.9,504.0,420.0
238,SP,2016,20.0,M,1,3,620.9,690.5,579.2,708.1,620.0
239,PR,2016,19.0,F,2,3,,,,,
240,RJ,2016,27.0,F,1,1,578.5,621.4,603.9,555.3,500.0
241,SC,2016,17.0,F,2,1,,,,,
242,MG,2016,19.0,F,1,3,548.4,412.3,542.8,539.6,520.0
243,RO,2016,19.0,F,1,3,516.3,446.4,391.0,577.9,480.0
244,PR,2016,17.0,F,3,3,632.3,596.0,630.3,673.2,600.0
245,BA,2016,17.0,M,1,3,,,,,
246,MG,2016,16.0,F,1,3,,,,,
247,MS,2016,18.0,M,1,1,568.3,647.3,566.9,608.2,780.0
248,MG,2016,15.0,F,1,3,576.5,556.3,585.0,633.1,560.0
249,PB,2016,22.0,F,1,1,593.8,579.2,518.8,611.8,680.0
250,PA,2016,22.0,M,1,3,527.9,476.0,417.5,495.0,400.0
251,SP,2016,17.0,F,3,1,549.9,591.4,572.8,647.3,720.0
252,MG,2016,33.0,F,1,2,501.5,388.6,375.3,517.8,440.0
253,BA,2016,33.0,M,1,2,,,,,
254,MG,2016,20.0,M,1,1,429.5,421.9,490.8,437.9,520.0
255,PB,2016,16.0,M,1,1,470.6,457.7,445.8,537.1,240.0
256,PR,2016,19.0,F,1,0,,,,,
257,PI,2016,18.0,M,2,3,458.7,393.5,380.7,504.1,280.0
258,RS,2016,16.0,F,1,1,,,521.3,446.8,
259,MG,2016,24.0,F,1,3,570.1,381.5,368.1,573.1,560.0
260,MA,2016,17.0,M,2,1,452.8,372.6,460.8,463.9,520.0
261,MS,2016,17.0,F,1,1,,,370.4,490.7,
262,GO,2016,24.0,M,1,3,397.8,530.3,425.1,515.8,440.0
263,CE,2016,19.0,F,1,1,494.5,468.0,477.6,526.0,620.0
264,PR,2016,18.0,M,1,1,,,466.3,569.3,
265,BA,2016,22.0,F,1,3,,,,,
266,RR,2016,18.0,M,2,3,,,,,
267,BA,2016,18.0,M,2,3,495.0,381.9,490.9,502.2,400.0
268,CE,2016,17.0,M,3,1,617.2,672.2,647.8,614.1,640.0
269,MG,2016,29.0,F,1,3,,,,,
270,MG,2016,24.0,M,1,4,464.7,477.0,464.5,515.0,540.0
271,MG,2016,22.0,F,1,3,,,,,
272,RS,2016,17.0,F,2,1,457.8,443.2,472.5,402.4,400.0
273,AC,2016,17.0,F,2,3,399.2,424.8,423.0,544.4,480.0
274,PI,2016,30.0,F,1,3,417.6,348.1,368.9,432.6,520.0
275,SP,2016,19.0,F,1,3,,,,,
276,PR,2016,20.0,F,1,1,,,,,
277,PE,2016,20.0,M,1,3,574.6,523.4,451.1,473.7,600.0
278,SP,2016,20.0,F,1,1,546.3,480.8,523.3,458.5,400.0
279,GO,2016,16.0,F,1,3,460.6,415.4,424.1,499.8,560.0
280,MG,2016,18.0,F,2,1,517.8,497.0,535.1,574.9,580.0
281,AM,2016,28.0,M,1,3,,,,,
282,PA,2016,37.0,M,1,3,,,,,
283,BA,2016,18.0,F,2,2,,,418.5,507.5,
284,MG,2016,20.0,F,1,3,469.7,404.4,424.7,509.8,580.0
285,BA,2016,25.0,F,1,2,484.7,342.2,385.5,524.7,420.0
286,SP,2016,26.0,M,1,1,,,,,
287,MG,2016,15.0,F,1,1,594.4,428.7,504.7,596.8,600.0
288,MG,2016,23.0,F,1,3,410.8,376.4,466.7,450.5,320.0
289,RJ,2016,19.0,F,1,2,469.8,422.1,396.1,485.6,720.0
290,DF,2016,17.0,M,1,3,598.8,565.2,612.9,609.7,640.0
291,PB,2016,35.0,F,1,3,,,,,
292,BA,2016,22.0,F,1,1,,,,,
293,BA,2016,19.0,F,1,2,511.3,474.3,452.2,492.8,500.0
294,PB,2016,18.0,F,1,1,467.5,366.4,473.4,489.5,480.0
295,PB,2016,22.0,F,1,1,,,,,
296,RN,2016,23.0,F,1,2,572.5,409.2,427.8,602.0,480.0
297,SP,2016,20.0,F,1,2,516.5,433.5,492.4,532.8,400.0
298,AL,2016,43.0,F,1,3,,,,,
299,SP,2016,32.0,F,1,1,,,,,
300,SP,2016,17.0,F,2,1,538.7,404.0,444.0,542.2,520.0
301,MT,2016,19.0,M,1,3,499.0,394.4,411.9,447.6,480.0
302,RS,2016,18.0,F,2,1,516.5,535.0,478.2,476.0,480.0
303,SP,2016,19.0,F,1,2,603.0,353.2,470.3,545.9,540.0
304,PR,2016,21.0,F,1,1,,,,,
305,AL,2016,16.0,M,1,3,528.2,624.3,512.8,572.6,380.0
306,MG,2016,16.0,F,1,1,,,,,
307,SP,2016,18.0,F,1,1,567.2,630.0,566.8,583.7,560.0
308,RN,2016,20.0,M,1,1,506.1,448.4,556.4,534.8,500.0
309,RN,2016,28.0,F,1,3,564.6,498.1,473.3,558.9,600.0
310,SP,2016,33.0,F,1,1,652.5,571.4,605.6,693.8,560.0
311,SP,2016,16.0,M,1,1,,,386.0,414.6,
312,SP,2016,19.0,F,1,3,630.8,439.5,538.9,649.4,660.0
313,PA,2016,21.0,F,1,3,,,,,
314,SC,2016,17.0,M,2,1,494.2,570.9,472.0,534.3,500.0
315,RS,2016,25.0,F,1,2,,,,,
316,SP,2016,17.0,F,2,2,534.4,394.4,513.0,496.2,480.0
317,SP,2016,20.0,F,1,1,644.2,534.7,580.4,649.4,680.0
318,PR,2016,17.0,M,1,3,482.0,523.1,443.0,552.2,580.0
319,AC,2016,17.0,F,2,3,605.0,474.4,532.0,598.1,700.0
320,CE,2016,25.0,M,1,3,,,,,
321,RJ,2016,25.0,F,1,2,,,,,
322,SP,2016,21.0,M,1,1,,,,,
323,DF,2016,22.0,M,1,3,485.9,641.0,566.2,529.6,680.0
324,CE,2016,27.0,F,1,1,,,,,
325,GO,2016,17.0,F,1,3,,,,,
326,MG,2016,39.0,M,1,3,,,,,
327,AM,2016,17.0,F,2,3,420.2,383.8,390.3,505.8,480.0
328,SE,2016,17.0,F,1,3,449.0,379.1,363.8,512.9,360.0
329,CE,2016,21.0,F,1,3,,,,,
330,PB,2016,32.0,M,1,1,565.1,544.6,482.2,621.1,640.0
331,MG,2016,17.0,F,1,0,461.8,477.8,446.0,493.8,440.0
332,PR,2016,18.0,F,1,3,511.2,521.8,393.6,565.5,680.0
333,DF,2016,17.0,F,2,3,598.6,557.3,555.8,578.9,660.0
334,MS,2016,17.0,F,2,1,569.5,467.0,496.8,486.1,620.0
335,RJ,2016,19.0,F,1,2,,,,,
336,PI,2016,25.0,F,1,1,,,,,
337,AM,2016,27.0,M,2,4,,,,,
338,GO,2016,19.0,F,1,3,,,,,
339,PB,2016,35.0,M,1,3,,,,,
340,SP,2016,21.0,F,1,1,,,,,
341,PE,2016,21.0,F,1,1,657.9,856.3,756.7,735.8,820.0
342,MG,2016,22.0,M,1,1,498.4,433.1,417.9,510.6,400.0
343,GO,2016,39.0,F,1,3,435.9,406.9,471.8,448.7,400.0
344,PR,2016,18.0,F,1,1,550.1,464.6,487.7,526.2,540.0
345,RJ,2016,24.0,F,1,1,,,,,
346,RJ,2016,18.0,F,1,3,,,,,
347,RJ,2016,27.0,F,1,1,,,,,
348,GO,2016,16.0,M,1,1,514.5,574.0,578.5,587.6,560.0
349,CE,2016,19.0,F,2,3,438.5,378.7,409.4,382.1,420.0
350,SP,2016,18.0,M,1,1,577.3,800.7,679.1,630.3,640.0
351,DF,2016,24.0,F,1,3,485.2,434.0,367.7,456.8,620.0
352,AM,2016,66.0,M,1,3,,,,,
353,RS,2016,17.0,F,2,1,461.3,355.6,468.8,544.4,620.0
354,SP,2016,19.0,F,1,3,514.8,564.9,528.2,589.6,500.0
355,RN,2016,19.0,M,1,3,556.0,391.8,529.9,541.8,680.0
356,SP,2016,17.0,M,2,1,463.7,523.9,406.6,414.5,240.0
357,ES,2016,24.0,M,1,3,617.7,418.8,594.7,506.9,360.0
358,BA,2016,17.0,F,2,2,510.4,527.9,547.9,618.8,760.0
359,GO,2016,17.0,M,1,3,542.3,445.0,482.1,550.8,560.0
360,PE,2016,17.0,F,1,1,428.6,577.4,591.0,597.9,640.0
361,BA,2016,16.0,F,1,3,512.0,389.9,472.4,534.1,500.0
362,RJ,2016,21.0,M,2,2,470.1,684.8,552.0,618.0,580.0
363,CE,2016,17.0,F,2,3,521.2,379.2,473.8,460.4,360.0
364,SC,2016,17.0,M,3,1,,,,,
365,GO,2016,17.0,M,1,3,,,,,
366,MG,2016,23.0,F,1,3,,,,,
367,DF,2016,22.0,F,1,3,406.4,489.6,409.3,519.9,460.0
368,PE,2016,19.0,M,1,2,,,539.5,540.5,
369,MG,2016,18.0,F,3,1,592.7,662.0,566.5,713.8,720.0
370,MG,2016,19.0,M,1,2,,,,,
